"u:0","u:1","u:2","Points:0","Points:1","Points:2"
-0.00026955,0.01754,0,0.0384,0.036064,0
-0.00047197,0.018039,0,0.03888,0.036493,0
-0.00068339,0.018547,0,0.03936,0.036922,0
-0.000904,0.019062,0,0.03984,0.03735,0
-0.001134,0.019585,0,0.04032,0.037779,0
-0.0013736,0.020115,0,0.0408,0.038208,0
-0.001623,0.020652,0,0.04128,0.038637,0
-0.0018824,0.021197,0,0.04176,0.039066,0
-0.0021522,0.021749,0,0.04224,0.039494,0
-0.0024326,0.022308,0,0.04272,0.039923,0
-0.0027239,0.022873,0,0.0432,0.040352,0
-0.0030265,0.023445,0,0.04368,0.040781,0
-0.0033408,0.024023,0,0.04416,0.04121,0
-0.0036672,0.024606,0,0.04464,0.041638,0
-0.0040065,0.025194,0,0.04512,0.042067,0
-0.0043593,0.025787,0,0.0456,0.042496,0
-0.0047267,0.026383,0,0.04608,0.042925,0
-0.0051105,0.026983,0,0.04656,0.043354,0
-0.0055127,0.027584,0,0.04704,0.043782,0
-0.0059326,0.028186,0,0.04752,0.044211,0
-0.0063615,0.028783,0,0.048,0.04464,0
0,0,0,0,0.0022,0
2.5776e-05,5.1977e-05,0,0.00048,0.002626,0
5.2552e-05,0.00010664,0,0.00096,0.003052,0
8.0569e-05,0.00016376,0,0.00144,0.003478,0
0.00011002,0.00022302,0,0.00192,0.003904,0
0.00014105,0.00028412,0,0.0024,0.00433,0
0.00017379,0.0003468,0,0.00288,0.004756,0
0.00020832,0.00041087,0,0.00336,0.005182,0
0.00024472,0.00047621,0,0.00384,0.005608,0
0.00028304,0.00054274,0,0.00432,0.006034,0
0.00032332,0.00061044,0,0.0048,0.00646,0
0.00036556,0.00067933,0,0.00528,0.006886,0
0.00040976,0.00074949,0,0.00576,0.007312,0
0.00045591,0.00082099,0,0.00624,0.007738,0
0.00050396,0.00089396,0,0.00672,0.008164,0
0.00055386,0.00096857,0,0.0072,0.00859,0
0.00060555,0.001045,0,0.00768,0.009016,0
0.00065893,0.0011233,0,0.00816,0.009442,0
0.00071391,0.0012039,0,0.00864,0.009868,0
0.00077038,0.0012868,0,0.00912,0.010294,0
0.00082821,0.0013724,0,0.0096,0.01072,0
0.00088726,0.0014608,0,0.01008,0.011146,0
0.00094738,0.0015522,0,0.01056,0.011572,0
0.0010084,0.001647,0,0.01104,0.011998,0
0.0010702,0.0017454,0,0.01152,0.012424,0
0.0011326,0.0018475,0,0.012,0.01285,0
0.0011953,0.0019536,0,0.01248,0.013276,0
0.0012582,0.0020641,0,0.01296,0.013702,0
0.0013211,0.002179,0,0.01344,0.014128,0
0.0013838,0.0022986,0,0.01392,0.014554,0
0.0014461,0.0024232,0,0.0144,0.01498,0
0.0015077,0.0025529,0,0.01488,0.015406,0
0.0015684,0.002688,0,0.01536,0.015832,0
